tool,run_number,duration_seconds,alert_count,duration_seconds (round)
bandit,11,1.175316833,65,1.175
bandit,1,1.316471088,65,1.316
bandit,3,1.347931882,65,1.348
bandit,22,1.216473642,65,1.216
bandit,6,1.044597002,65,1.045
bandit,14,1.236509599,65,1.237
bandit,19,1.19936079,65,1.199
bandit,9,1.430162175,65,1.43
bandit,18,1.178945884,65,1.179
bandit,12,1.103601769,65,1.104
bandit,17,1.169811349,65,1.17
bandit,25,1.146006031,65,1.146
bandit,26,1.354051118,65,1.354
bandit,13,1.027856712,65,1.028
bandit,10,1.256799532,65,1.257
bandit,20,1.215081328,65,1.215
bandit,21,1.227663715,65,1.228
bandit,2,1.198560646,65,1.199
bandit,16,1.029970733,65,1.03
bandit,8,1.241505512,65,1.242
bandit,27,1.296119957,65,1.296
bandit,5,1.173531268,65,1.174
bandit,29,1.283910477,65,1.284
bandit,28,1.160245059,65,1.16
bandit,4,1.272182713,65,1.272
bandit,7,1.152422595,65,1.152
bandit,24,1.181745731,65,1.182
bandit,15,1.205772084,65,1.206
bandit,23,1.043940998,65,1.044
bandit,30,1.209004275,65,1.209
