tool,run_number,duration_seconds,alert_count
sonarqube_local,1,33.018699672,102
sonarqube_local,2,23.046893238,102
sonarqube_local,3,23.276807032,102
sonarqube_local,4,22.465535939,102
sonarqube_local,5,22.120022465,102
sonarqube_local,6,22.763465807,102
sonarqube_local,7,22.609620620,102
sonarqube_local,8,22.357005581,102
sonarqube_local,9,22.786783855,102
sonarqube_local,10,22.201083644,102
sonarqube_local,11,22.414414284,102
sonarqube_local,12,22.281487843,102
sonarqube_local,13,22.318166697,102
sonarqube_local,14,22.516766501,102
sonarqube_local,15,22.132960038,102
sonarqube_local,16,22.539551818,102
sonarqube_local,17,22.576950773,102
sonarqube_local,18,22.394783807,102
sonarqube_local,19,22.331492553,102
sonarqube_local,20,22.522850065,102
sonarqube_local,21,22.743305171,102
sonarqube_local,22,22.268897237,102
sonarqube_local,23,22.459516429,102
sonarqube_local,24,22.450508075,102
sonarqube_local,25,22.171794016,102
sonarqube_local,26,22.734348266,102
sonarqube_local,27,22.114309235,102
sonarqube_local,28,22.340604814,102
sonarqube_local,29,22.580185706,102
sonarqube_local,30,22.628843748,102
